inter_id,source,target,interaction,tissue_dataset,tau_source,tau_target,inter_tau,pairs_type,network_type,metastasis_dataset,signal,value,stat,pval,pval_corr,cancer_entropy,metastasis_entropy,is_curated
108,AMH,EGFR,263.0,gtex,0.725,0.415,0.725,frequency,genecalls,autopsy,-1.0,-4603.0,MWU_ratio,0.000711075323261,0.0060704932866898,2.1272886853327275,2.2290913742280463,yes
145,FGF14,EGFR,3826.0,gtex,0.778,0.415,0.778,frequency,genecalls,autopsy,1.0,6093.0,MWU_ratio,0.0001602898942748,0.0025378689166849,2.5733009703333543,2.062874285111209,no
145,FGF14,EGFR,3826.0,gtex,0.778,0.415,0.778,frequency,genecalls,hcmdb,1.0,2072.0,MWU_ratio,0.001266020002519,0.0324034923520549,2.42789093044253,2.2200177380251853,no
3181,HBEGF,ERBB4,4491.0,gtex,0.418,0.641,0.641,frequency,genecalls,autopsy,-1.0,-4797.0,MWU_ratio,0.011579165092783,0.0497603258326672,2.450996798090423,2.588101784453513,yes
3187,L1CAM,ERBB4,5759.0,gtex,0.609,0.641,0.641,frequency,genecalls,autopsy,-1.0,-8374.0,MWU_ratio,4.577256755962444e-05,0.0009548213312282,2.609604467451713,2.4321835348947523,yes
3178,ERBB3,ERBB4,3578.0,gtex,0.536,0.641,0.641,frequency,genecalls,autopsy,-1.0,-5817.0,MWU_ratio,0.0079986537682091,0.0372202874381514,2.739838642646355,2.5856089384503016,yes
3179,PSEN1,ERBB4,7370.0,gtex,0.298,0.641,0.641,frequency,genecalls,autopsy,-1.0,-4794.0,MWU_ratio,0.0102798498735775,0.0452779336641311,2.4739073312624478,2.517632213156486,no
7796,SAA1,FPR1,7827.0,gtex,0.763,0.801,0.801,frequency,genecalls,autopsy,1.0,8935.0,MWU_ratio,1.688064112570089e-05,0.0004345367685801,2.716960653071598,2.500009244410069,yes
7798,VTN,FPR1,9213.0,gtex,0.837,0.801,0.837,frequency,genecalls,autopsy,1.0,2869.0,MWU_ratio,0.0060402552766731,0.0304322388339965,1.5941666991180168,1.9401243333353373,no
7799,CTSG,FPR1,2685.0,gtex,0.659,0.801,0.801,frequency,genecalls,autopsy,1.0,5555.0,MWU_ratio,0.0038654756082913,0.0226452203307133,2.6194272898219686,2.3220458003027926,no
7362,HP,TLR4,4742.0,gtex,0.886,0.462,0.886,frequency,genecalls,autopsy,1.0,9751.0,MWU_ratio,1.9758333579929128e-05,0.0004891760676763,2.783869054801825,2.7921989193312333,yes
7377,PRG4,TLR4,7319.0,gtex,0.799,0.462,0.799,frequency,genecalls,autopsy,1.0,8880.0,MWU_ratio,1.0856130345071253e-05,0.0003091412355406,2.553327858076034,2.6338717630292714,yes
7377,PRG4,TLR4,7319.0,gtex,0.799,0.462,0.799,frequency,genecalls,hcmdb,1.0,3330.0,MWU_ratio,5.151254787055898e-06,0.0022577760267656,2.6194272898219686,2.3220458003027926,yes
8610,CXCL11,ACKR3,2763.0,gtex,0.831,0.384,0.831,frequency,genecalls,autopsy,1.0,10202.0,MWU_ratio,1.5542309932401132e-07,1.1363061285854976e-05,2.637397393650456,2.45013919525338,yes
7001,CD40LG,ITGB1,1501.0,gtex,0.836,0.381,0.836,frequency,genecalls,autopsy,1.0,5551.0,MWU_ratio,0.0043149398911943,0.0235564204453261,2.637397393650456,2.45013919525338,yes
1292,PCDHA10,ITGB1,6921.0,gtex,0.801,0.381,0.801,frequency,genecalls,autopsy,-1.0,-6539.0,MWU_ratio,0.0002780719007504,0.0036392777044336,2.425699268676888,2.5119402604231387,yes
7000,CD40LG,ITGA5,1499.0,gtex,0.836,0.501,0.836,frequency,genecalls,autopsy,1.0,5264.0,MWU_ratio,0.0063907950225289,0.0315441527016759,2.66076961187075,2.398198024674663,yes
4207,CXCL12,GZMB,2812.0,gtex,0.383,0.852,0.852,frequency,genecalls,autopsy,1.0,8371.0,MWU_ratio,2.1486622189615146e-07,1.1363061285854976e-05,2.5733009703333543,2.062874285111209,no
4207,CXCL12,GZMB,2812.0,gtex,0.383,0.852,0.852,frequency,genecalls,hcmdb,1.0,1860.0,MWU_ratio,0.0016345051614599,0.0336880116435629,2.5432606923036194,1.8172056050805705,no
4202,TYK2,GZMB,9033.0,gtex,0.248,0.852,0.852,frequency,genecalls,autopsy,1.0,8371.0,MWU_ratio,2.1486622189615146e-07,1.1363061285854976e-05,2.5733009703333543,2.062874285111209,no
4202,TYK2,GZMB,9033.0,gtex,0.248,0.852,0.852,frequency,genecalls,hcmdb,1.0,1860.0,MWU_ratio,0.0016345051614599,0.0336880116435629,2.5432606923036194,1.8172056050805705,no
4200,IL2RB,GZMB,5286.0,gtex,0.835,0.852,0.852,frequency,genecalls,autopsy,1.0,4438.0,MWU_ratio,0.0009598716875012,0.0074695120106449,2.378620199410213,1.7878192054733966,no
4200,IL2RB,GZMB,5286.0,gtex,0.835,0.852,0.852,frequency,genecalls,hcmdb,1.0,1466.0,MWU_ratio,0.0016485536760801,0.0338883789791583,2.311423444691973,1.3579927329936925,no
4201,IL2RG,GZMB,5297.0,gtex,0.718,0.852,0.852,frequency,genecalls,autopsy,1.0,7240.0,MWU_ratio,3.186781558956619e-06,0.000104531813668,2.5907084163990324,1.9331026258862103,no
4201,IL2RG,GZMB,5297.0,gtex,0.718,0.852,0.852,frequency,genecalls,hcmdb,1.0,1672.0,MWU_ratio,0.0025106267291626,0.0441870304332617,2.489588080579376,1.6746499632797291,no
4208,B2M,GZMB,500.0,gtex,0.212,0.852,0.852,frequency,genecalls,autopsy,1.0,8371.0,MWU_ratio,2.1486622189615146e-07,1.1363061285854976e-05,2.5733009703333543,2.062874285111209,no
4208,B2M,GZMB,500.0,gtex,0.212,0.852,0.852,frequency,genecalls,hcmdb,1.0,1860.0,MWU_ratio,0.0016345051614599,0.0336880116435629,2.5432606923036194,1.8172056050805705,no
2109,IGF1R,RET,4969.0,gtex,0.315,0.652,0.652,frequency,genecalls,autopsy,-1.0,-7595.0,MWU_ratio,0.0006340722329675,0.0060704932866898,2.854357874080552,2.934846261646924,yes
2109,IGF1R,RET,4969.0,gtex,0.315,0.652,0.652,frequency,genecalls,hcmdb,-1.0,-2208.0,MWU_ratio,0.0031328435764136,0.0493690762383728,2.6145155104497677,2.590043564563822,yes
7763,EDN3,EDNRA,3211.0,gtex,0.801,0.566,0.801,frequency,genecalls,autopsy,-1.0,-10636.0,MWU_ratio,4.797319715246942e-07,2.0834839925323876e-05,2.9166546912617592,2.9737997599970627,yes
942,HP,ITGB2,4741.0,gtex,0.886,0.631,0.886,frequency,genecalls,autopsy,1.0,9529.0,MWU_ratio,1.4393002405217892e-05,0.0003871667844227,2.746385544520359,2.544584587969763,yes
7425,MST1,ITGAM,6509.0,gtex,0.588,0.692,0.692,frequency,genecalls,autopsy,1.0,3555.0,MWU_ratio,0.0003722101754688,0.004338173769257,2.9955605069769917,2.9955605069769917,no
6975,HP,ITGAM,4740.0,gtex,0.886,0.692,0.886,frequency,genecalls,autopsy,1.0,12758.0,MWU_ratio,2.5833876066938736e-08,5.089005060434225e-06,2.8366798507467736,2.775507163660603,yes
6975,HP,ITGAM,4740.0,gtex,0.886,0.692,0.886,frequency,genecalls,hcmdb,1.0,2680.0,MWU_ratio,0.0003233828315961,0.0119468600804747,2.7918293145114217,2.440076791927249,yes
7433,FPR1,ITGAM,4156.0,gtex,0.801,0.692,0.801,frequency,genecalls,autopsy,1.0,9887.0,MWU_ratio,3.350447552535562e-06,0.0001094385683756,2.731505430353184,2.584465280185212,no
6979,THY1,ITGAM,8676.0,gtex,0.468,0.692,0.692,frequency,genecalls,autopsy,1.0,3149.0,MWU_ratio,0.0038165313035933,0.0224260879471914,2.994954940772172,2.995387194710426,yes
2444,CD40LG,ICAM1,1497.0,gtex,0.836,0.541,0.836,frequency,genecalls,autopsy,1.0,5264.0,MWU_ratio,0.0063907950225289,0.0315441527016759,2.66076961187075,2.398198024674663,no
2460,EDN3,ICAM1,3213.0,gtex,0.801,0.541,0.801,frequency,genecalls,autopsy,-1.0,-10636.0,MWU_ratio,4.797319715246942e-07,2.0834839925323876e-05,2.9166546912617592,2.9737997599970627,no
225,SCT,ADCYAP1R1,7841.0,gtex,0.792,0.569,0.792,frequency,genecalls,autopsy,-1.0,-7325.0,MWU_ratio,0.0007554276508795,0.0063458364532985,2.6593287092083613,2.617046039654576,yes
225,SCT,ADCYAP1R1,7841.0,gtex,0.792,0.569,0.792,frequency,genecalls,hcmdb,-1.0,-2195.0,MWU_ratio,0.0020958970493768,0.0389367879337134,2.5255342191393657,2.218932288305909,yes
2183,IL1B,ADRB2,5174.0,gtex,0.806,0.613,0.806,frequency,genecalls,autopsy,1.0,6175.0,MWU_ratio,0.000310318040379,0.0038536940030452,2.462312253909122,2.2472315659700843,yes
2214,DBH,ADRB2,3063.0,gtex,0.848,0.613,0.848,frequency,genecalls,hcmdb,1.0,1497.0,MWU_ratio,0.0002149412057259,0.0088000867323058,2.0688846458275627,1.556183821230542,no
4900,SCT,PTH1R,7846.0,gtex,0.792,0.535,0.792,frequency,genecalls,autopsy,-1.0,-8480.0,MWU_ratio,0.0002008331611593,0.002965191397445,2.831464160207398,2.745573114208593,yes
4900,SCT,PTH1R,7846.0,gtex,0.792,0.535,0.792,frequency,genecalls,hcmdb,-1.0,-2768.0,MWU_ratio,0.0002325347823931,0.0090607582870784,2.634822019969436,2.4636708685300563,yes
9190,SCT,RAMP2,7847.0,gtex,0.792,0.352,0.792,frequency,genecalls,autopsy,-1.0,-8480.0,MWU_ratio,0.0002008331611593,0.002965191397445,2.831464160207398,2.745573114208593,yes
9190,SCT,RAMP2,7847.0,gtex,0.792,0.352,0.792,frequency,genecalls,hcmdb,-1.0,-2768.0,MWU_ratio,0.0002325347823931,0.0090607582870784,2.634822019969436,2.4636708685300563,yes
9215,SCT,RAMP3,7848.0,gtex,0.792,0.424,0.792,frequency,genecalls,autopsy,-1.0,-8480.0,MWU_ratio,0.0002008331611593,0.002965191397445,2.831464160207398,2.745573114208593,yes
9215,SCT,RAMP3,7848.0,gtex,0.792,0.424,0.792,frequency,genecalls,hcmdb,-1.0,-2768.0,MWU_ratio,0.0002325347823931,0.0090607582870784,2.634822019969436,2.4636708685300563,yes
640,CD40LG,F3,1496.0,gtex,0.836,0.316,0.836,frequency,genecalls,autopsy,1.0,5048.0,MWU_ratio,0.0081429723659785,0.0377255465870779,2.6019183030984507,2.426111335715707,no
6210,PRG4,TLR2,7318.0,gtex,0.799,0.642,0.799,frequency,genecalls,autopsy,1.0,9701.0,MWU_ratio,1.2223867911174826e-06,4.681199465097197e-05,2.659059996922109,2.4948691387494475,yes
6210,PRG4,TLR2,7318.0,gtex,0.799,0.642,0.799,frequency,genecalls,hcmdb,1.0,3741.0,MWU_ratio,2.497390410864679e-07,0.0001778141972535,2.6416101534486343,2.2513571508478094,yes
2160,FGF14,FGFR2,3828.0,gtex,0.778,0.516,0.778,frequency,genecalls,autopsy,1.0,5495.0,MWU_ratio,0.0005003873387336,0.0051523326772384,2.6527110086827683,1.9008061656826127,yes
2160,FGF14,FGFR2,3828.0,gtex,0.778,0.516,0.778,frequency,genecalls,hcmdb,1.0,2348.0,MWU_ratio,0.0001460226430082,0.0063536074446679,2.5368569605359945,1.9784402046800444,yes
7136,APOC2,LDLR,383.0,gtex,0.862,0.4,0.862,frequency,genecalls,hcmdb,1.0,2706.0,MWU_ratio,0.000343887693578,0.0123706035957312,2.7098345557895427,2.472963442149656,yes
9653,HP,CD163,4738.0,gtex,0.886,0.529,0.886,frequency,genecalls,autopsy,1.0,11083.0,MWU_ratio,1.3212379168856524e-06,5.034952728367187e-05,2.8366798507467736,2.775507163660603,yes
9653,HP,CD163,4738.0,gtex,0.886,0.529,0.886,frequency,genecalls,hcmdb,1.0,2474.0,MWU_ratio,0.0009927988924938,0.0289034115877656,2.730053274643065,2.4539525854051774,yes
